rowid,kepid,tce_planet_num,tce_period,tce_time0bk,tce_duration,campaign,tce_depth,tce_impact,av_training_set
219,201667940,5,0.102194972,1977.345398,0.058864304,1,0.025290035,0.01, C
220,201673626,2,0.245331202,1977.287667,0.261193718,1,0.066979358,0.697410303, C
221,201683152,2,21.80548533,1995.704233,1.981150485,1,0.041631596,0.698046636, C
222,201683152,3,20.97830852,1996.659673,2.028651771,1,0.079131297,0.979663657, C
223,201691212,2,39.91608202,2017.008611,7.82122545,1,0.128685796,-0.007728879, C
224,201696051,2,21.33421936,1996.383438,1.48656557,1,0.071410568,0.48598511, C
225,201699910,2,27.43602443,1999.872558,2.667593563,1,0.085623901,0.984497438, C
226,201699910,3,11.90453812,1979.417801,1.442784159,1,0.03281542,-0.449413214, C
227,201699910,4,0.245137689,1977.317122,0.282644492,1,0.012784932,-0.01485334, C
228,201699910,5,9.06656104,1980.269406,0.25,1,0.086047369,0.963650064, C
229,201699910,6,10.04612387,1980.276609,1.196981247,1,0.030318347,0.618347442, C
230,201702775,2,0.12262439,1977.371675,0.070631649,1,0.017022053,0.01, C
231,201702775,3,0.12263982,1977.344708,0.070640536,1,0.018041698,0.01, C
232,201702775,4,0.163504466,1977.349197,0.094178573,1,0.019108488,0.01, C
233,201705526,2,18.09882105,1980.402075,5.035041331,1,0.138521219,0.95930868, C
234,201713348,2,1.422662667,1977.88956,1.084705953,1,0.017349177,0.898664372, C
